player_name,destination_club,origin_club
Christian Nørgaard,Everton FC,Arsenal FC
Ainsley Maitland-Niles,Everton FC,Olympique Lyon
Jack Grealish,Everton FC,Manchester City
Gonzalo García,Fulham FC,Real Madrid
Shea Charles,Fulham FC,Southampton FC
David Affengruber,Fulham FC,Elche CF
César Palacios,Fulham FC,Real Madrid
Jonah Kusi-Asare,Fulham FC,Bayern Munich
Manuel Ángel,Fulham FC,Real Madrid Castilla
Hugo Larsson,Fulham FC,Eintracht Frankfurt
Nobel Mendy,Hull City,Rayo Vallecano
Konstantinos Tzolakis,Hull City,Olympiacos Piraeus
Ilyas Ansah,Hull City,1.FC Union Berlin
Mohamed-Ali Cho,Hull City,OGC Nice
Tim Iroegbunam,Hull City,Everton FC
Christos Mouzakitis,Hull City,Olympiacos Piraeus
Lucas Herrington,Hull City,Colorado Rapids
Brooke Norton-Cuffy,Hull City,Genoa CFC
Jens Hjertø-Dahl,Hull City,Tromsø IL
Sorba Thomas,Hull City,Stoke City
Joe Gelhardt,Hull City,Leeds United
Lucas Gourna-Douath,Hull City,Red Bull Salzburg
Jack Butland,Hull City,Rangers FC
Elliot Stroud,Hull City,Mjällby AIF
Robinio Vaz,Hull City,AS Roma
Hidemasa Morita,Hull City,Sporting CP
Matt Targett,Hull City,Newcastle United
Julio Enciso,Ipswich Town,RC Strasbourg Alsace
Emersonn,Ipswich Town,FC Toulouse
Abdul Fatawu,Ipswich Town,Leicester City
Exequiel Palacios,Ipswich Town,Bayer 04 Leverkusen
Abdoul Ouattara,Ipswich Town,RC Strasbourg Alsace
Zian Flemming,Ipswich Town,Burnley FC
Florentino,Ipswich Town,Burnley FC
Saša Lukić,Ipswich Town,Fulham FC
Kjell Scherpen,Ipswich Town,Union Saint-Gilloise
Issa Diop,Ipswich Town,Fulham FC
Daizen Maeda,Ipswich Town,Celtic FC
Chuba Akpom,Ipswich Town,Ajax Amsterdam
Cédric Kipré,Ipswich Town,Stade Reims
Kayne van Oevelen,Ipswich Town,FC Volendam
James Trafford,Leeds United,Manchester City
Tarik Muharemović,Leeds United,US Sassuolo
Nico Elvedi,Leeds United,Borussia Mönchengladbach
Michael Zetterer,Leeds United,Eintracht Frankfurt
Jean-Mattéo Bahoya,Leeds United,Eintracht Frankfurt
Melvin Bard,Leeds United,OGC Nice
Harry Wilson,Leeds United,Fulham FC
